,OPEN,CLOSE,BUY/SELL,Profit / Loss
0,470.0,475.0,Bought,
1,473.75,477.1,Bought,
2,482.0,484.5,Bought,
3,487.25,490.35,Bought,
4,494.95,497.6,Bought,
5,490.0,494.55,Bought,
6,484.5,488.95,Bought,
7,483.95,487.15,Bought,
8,487.3,492.3,Bought,
9,496.9,502.15,Bought,
10,497.9,502.85,Bought,
11,504.2,506.8,Bought,
12,495.1,497.7,Bought,
13,497.85,501.4,Bought,
14,501.65,504.4,Bought,
15,507.0,509.7,Bought,
16,507.6,512.5,Bought,
17,511.75,515.5,Bought,
18,515.65,520.3,Bought,
19,507.95,511.25,Bought,
20,509.0,512.2,Bought,
21,498.1,503.65,Bought,
22,493.9,496.4,Bought,
23,496.45,499.15,Bought,
24,507.85,510.7,Bought,
25,497.65,500.75,Bought,
26,501.65,504.35,Bought,
27,505.2,509.1,Bought,
28,511.35,514.1,Bought,
29,514.8,521.15,Bought,
30,519.65,522.3,Bought,
31,522.35,525.75,Bought,
32,526.0,531.2,Bought,
33,531.25,535.25,Bought,
34,535.35,538.3,Bought,
35,534.5,538.3,Bought,
36,525.6,528.65,Bought,
37,527.9,531.0,Bought,
38,525.65,529.55,Bought,
39,525.15,527.9,Bought,
40,512.4,515.9,Bought,
41,496.9,499.6,Bought,
42,499.1,502.7,Bought,
43,481.35,484.55,Bought,
44,484.5,487.3,Bought,
45,490.0,492.85,Bought,
46,457.8,464.0,Bought,
47,468.3,471.2,Bought,
48,468.0,473.7,Bought,
49,464.35,466.7,Bought,
50,464.45,467.95,Bought,
51,475.75,478.8,Bought,
52,450.0,453.05,Bought,
53,453.15,456.5,Bought,
54,455.95,458.9,Bought,
55,498.3,501.6,Bought,
56,493.35,496.4,Bought,
57,508.0,514.05,Bought,
58,504.45,507.4,Bought,
59,508.7,511.8,Bought,
60,511.8,514.45,Bought,
61,514.3,517.0,Bought,
62,499.6,502.65,Bought,
63,502.4,506.05,Bought,
64,488.55,492.8,Bought,
65,491.4,496.45,Bought,
66,503.55,509.2,Bought,
67,509.2,513.0,Bought,
